id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Moonlit Cabin,Harvest Avenue,folk,nostalgic,0.45,92,0.72,0.52,0.65
12,Neon Surge,Vector Pulse,electronic,energetic,0.88,140,0.52,0.80,0.10
13,Temple Bells,Orion Strings,classical,calm,0.30,66,0.68,0.24,0.95
14,Midnight Riddim,Reggae Roots,reggae,laid-back,0.58,88,0.75,0.66,0.45
15,Breakneck Anthem,Crash Theory,metal,aggressive,0.97,170,0.22,0.55,0.08
16,Broken City Heart,Velvet Soul,soul,yearning,0.65,84,0.61,0.58,0.42
17,Holiday Lanterns,Winter Ember,holiday,festive,0.70,104,0.87,0.72,0.35
